LOCATION,reported_year,uid,POPULATION,homicides_per_100000
"Albuquerque, NM",2010,45,545852,8.243992877190154
"Albuquerque, NM",2011,38,552105,6.882748752501788
"Albuquerque, NM",2012,46,555074,8.287183330510887
"Albuquerque, NM",2013,33,557547,5.9187835285635115
"Albuquerque, NM",2014,28,557566,5.0218270124075
"Albuquerque, NM",2015,50,558086,8.959192669230191
"Albuquerque, NM",2016,63,559350,11.263073209975865
"Albuquerque, NM",2017,75,559796,13.397737747322237
"Atlanta, GA",2007,127,410086,30.969113795642862
"Atlanta, GA",2008,105,414233,25.348052907421668
"Atlanta, GA",2009,80,417090,19.180512599199215
"Atlanta, GA",2010,93,420003,22.142698980721566
"Atlanta, GA",2011,88,437863,20.097610439795094
"Atlanta, GA",2012,83,449118,18.480666550884177
"Atlanta, GA",2013,83,454148,18.27598051736438
"Atlanta, GA",2014,93,461358,20.15788173175712
"Atlanta, GA",2015,95,468573,20.27432225074855
"Atlanta, GA",2016,111,479590,23.14476949060656
"Atlanta, GA",2017,15,492121,3.0480308704566563
"Baltimore, MD",2007,280,620306,45.13901203599514
"Baltimore, MD",2008,234,620184,37.730737974536595
"Baltimore, MD",2009,236,620509,38.033292023161636
"Baltimore, MD",2010,220,620961,35.428956085808935
"Baltimore, MD",2011,197,620493,31.748948013917968
"Baltimore, MD",2012,216,623035,34.6689993339058
"Baltimore, MD",2013,231,622591,37.10300984113166
"Baltimore, MD",2014,211,623833,33.8231545942584
"Baltimore, MD",2015,342,622831,54.91056161302183
"Baltimore, MD",2016,320,616542,51.90238459018201
"Baltimore, MD",2017,340,610853,55.65987234244573
"Baton Rouge, LA",2011,64,228527,28.005443558091603
"Baton Rouge, LA",2012,67,228805,29.282576866764273
"Baton Rouge, LA",2013,49,228284,21.46449159818472
"Baton Rouge, LA",2014,52,227815,22.825538265698043
"Baton Rouge, LA",2015,61,227191,26.8496551359869
"Baton Rouge, LA",2016,44,226712,19.4078831292565
"Baton Rouge, LA",2017,87,224441,38.762971114903245
"Birmingham, AL",2007,92,218880,42.03216374269006
"Birmingham, AL",2008,81,216505,37.41253088843214
"Birmingham, AL",2009,65,214394,30.31801263095049
"Birmingham, AL",2010,58,212237,27.32793999161315
"Birmingham, AL",2011,54,211554,25.525397770781925
"Birmingham, AL",2012,68,210775,32.26189064167952
"Birmingham, AL",2013,64,211270,30.292990012779853
"Birmingham, AL",2014,52,211179,24.623660496545586
"Birmingham, AL",2015,78,211811,36.8252829173178
"Birmingham, AL",2016,90,211512,42.550777260864635
"Birmingham, AL",2017,98,211125,46.41799881586738
"Boston, MA",2007,66,593136,11.127296269321032
"Boston, MA",2008,66,600685,10.987455987747321
"Boston, MA",2009,49,612669,7.997793261940787
"Boston, MA",2010,74,617594,11.981981690236628
"Boston, MA",2011,64,630620,10.148742507373695
"Boston, MA",2012,59,643180,9.173170807549987
"Boston, MA",2013,42,653312,6.428781347962382
"Boston, MA",2014,55,663260,8.292374031299943
"Boston, MA",2015,39,670982,5.812376486999652
"Boston, MA",2016,46,680218,6.762537892263952
"Boston, MA",2017,54,688239,7.846111597860627
